otu	sim	del	ins	mis	len	score	hit
185	denovo314	73.33	13	15	40	255	264.5	A1.3_HE578976
186	denovo2889	75.18	17	19	33	278	264.5	B1b_AF499780
187	denovo830	76.33	9	26	54	376	264.5	D1.2_AM748617
188	denovo335	80.59	11	20	42	376	265	D1.2_AM748617
189	denovo5554	75.27	11	23	59	376	265	D1.2_AM748617
190	denovo5271	74.73	12	22	61	376	265	D1.2_AM748617
191	denovo4621	76.09	10	26	52	368	265.5	D1.1_AM748564
192	denovo1617	75.8	11	23	57	376	266	D1.2_AM748617
193	denovo3293	77.7	8	12	44	287	266.5	B17_AY258470
194	denovo2360	71.57	10	15	60	299	267	F3.2_AM748567
195	denovo1834	73.2	8	16	58	306	267.5	I3_FN561561
196	denovo1222	76.63	16	16	54	368	267.5	D1.1_AM748564
197	denovo1815	74.11	14	16	43	282	268	F4.3a_AM748579
198	denovo3960	83.82	9	30	56	587	268	H6_AJ291520
199	denovo2472	72.85	18	14	47	291	268.5	C1195_EU099821
200	denovo4184	73.91	13	16	49	299	268.5	F3.2_AM748567
201	denovo4081	76.08	15	14	32	255	269.5	A138_EF378620
202	denovo2328	72.88	12	14	54	295	270	F3.4b_AM748616
203	denovo2429	71.38	22	12	47	283	271.5	C51_AY589756
204	denovo2429	73.33	21	12	43	285	271.5	C12_AF499801
205	denovo4737	73.24	13	14	49	284	272	F110_AJ291526
206	denovo2206	77.55	6	18	42	294	272	F5.2g_JN558072
207	denovo4688	77.55	6	18	42	294	272	F5.2g_JN558072
208	denovo4373	76.47	14	19	39	306	272	I2_FN561560
209	denovo3379	76.32	13	22	37	304	272.5	F114_AJ291525
210	denovo2909	85	8	29	50	580	272.5	H6_AJ291520
211	denovo2717	74.47	12	23	61	376	273	D1.2_AM748617
212	denovo1305	75.59	14	19	39	295	273.5	F3.4_AM748570;F3.4a_AM748571
213	denovo1610	84.33	12	27	53	587	274	H6_AJ291520
214	denovo284	69.37	14	14	59	284	274.5	F4.5_AM748585
215	denovo284	75.96	17	17	35	287	274.5	E100_DQ011618
216	denovo1859	77.78	11	18	39	306	274.5	I1_FN561559
217	denovo772	78.37	14	21	26	282	275.5	F4.4_AM748582
218	denovo2701	77.39	10	16	38	283	277	C15.30_JX394114
219	denovo6	83.99	9	30	55	587	277	H6_AJ291520
220	denovo2454	79.59	10	19	31	294	277.5	F1_JN558066
221	denovo5355	71.77	10	15	58	294	278	F5.2f_AJ291512
222	denovo5552	73.9	9	17	51	295	278.5	F3.4a_AM748571
223	denovo1036	76.8	12	12	47	306	279	I4_FN561562;I3_FN561561
224	denovo4438	76.19	11	17	42	294	280.5	F5.2g_JN558072
225	denovo4814	83.82	8	32	55	587	281	H6_AJ291520
226	denovo3264	84.16	11	31	51	587	281.5	H6_AJ291520
227	denovo3509	76.59	7	17	46	299	282	F3.2a_AM748568
228	denovo3017	83.13	8	35	56	587	282	H6_AJ291520
229	denovo14	76.86	15	19	53	376	282.5	D1.2_AM748617
230	denovo597	73.31	14	16	45	281	284	F4.1a_AM748573
231	denovo3268	72.22	13	14	58	306	284	I4_FN561562;I3_FN561561
232	denovo2999	75.49	12	14	49	306	285	I2_FN561560
233	denovo4880	72.54	11	18	49	284	285.5	F110_AJ291526
234	denovo4041	79.52	10	26	41	376	285.5	D1.2_AM748617
235	denovo2532	76.37	9	9	51	292	286	F2b_AJ291521;F2_AJ830908
236	denovo650	77.99	8	21	52	368	286	D1.1_AM748564
237	denovo312	79.93	10	19	30	294	286.5	F1_JN558066
238	denovo3231	76.14	11	13	49	306	286.5	I1_FN561559
239	denovo4664	67.97	9	11	78	306	287	I1_FN561559
240	denovo77	74.24	9	17	50	295	287.5	F3.4a_AM748571
241	denovo215	74.51	12	18	48	306	289	I2_FN561560
242	denovo639	74.9	10	12	42	255	289.5	A105_AB207202
243	denovo5434	75.27	11	25	55	368	289.5	D1.1_AM748564
244	denovo1343	72.83	12	13	50	276	290	C32.2_JF683336
245	denovo4957	77.82	16	11	36	284	290	E112_EU074916
246	denovo376	75.25	8	17	48	295	290	F3.4b_AM748616
247	denovo5480	76.41	15	11	41	284	291	E112_EU074916
248	denovo2341	75.82	8	16	50	306	292	I1_FN561559
249	denovo1169	78.91	13	15	34	294	292.5	F5.2g_JN558072
250	denovo1053	74.49	11	20	44	294	293	F5.2g_JN558072
251	denovo396	74.58	10	18	47	295	293	F3.4_AM748570;F3.4b_AM748616
252	denovo1897	73.22	7	19	53	295	293.5	F3.4a_AM748571
253	denovo681	73.2	11	15	56	306	293.5	I1_FN561559
254	denovo677	70.23	10	13	66	299	294	F3.2_AM748567
255	denovo3638	74.01	15	11	53	304	294	F3.1a_AM748566
256	denovo5160	76.41	7	15	45	284	294.5	F110_AJ291526
257	denovo4085	76.8	12	18	41	306	294.5	I2_FN561560
258	denovo4249	75.16	13	15	48	306	294.5	I2_FN561560
259	denovo160	73.24	18	17	41	284	295	E110_EU074914
260	denovo5214	75.44	9	16	45	285	295.5	E101_AY160123
261	denovo249	75.85	13	12	46	294	295.5	F5.2c_AM748596
262	denovo1078	72.11	14	13	55	294	295.5	F5.1c_AM748593
263	denovo3807	74.18	8	13	58	306	295.5	I3_FN561561
264	denovo2885	72.55	9	13	62	306	295.5	I4_FN561562;I3_FN561561
265	denovo574	74.38	12	15	45	281	296	F4.6_AM748586
266	denovo3971	78.43	8	13	34	255	296.5	A105_AB207202
267	denovo2868	75.27	14	10	46	283	296.5	C54a_AY765406
268	denovo5288	73.86	9	12	59	306	296.5	I2_FN561560
269	denovo5197	75	14	17	40	284	297	F110_AJ291526
270	denovo1323	72.04	9	17	59	304	297	F3.1a_AM748566
271	denovo2181	79.15	14	13	32	283	297.5	C15.29_KC597690
272	denovo5081	75.82	14	14	46	306	298	I1_FN561559
273	denovo2991	75.62	12	17	40	283	298.5	F4.7_AM748587
274	denovo4512	75.61	18	15	37	287	298.5	E100_DQ011618
275	denovo3782	73.68	11	12	57	304	298.5	F114_AJ291525
276	denovo4150	70.92	17	10	46	251	299	A7_AY239360
277	denovo2282	75.59	8	17	47	295	299	F3.4b_AM748616
278	denovo3817	77.12	9	18	43	306	299.5	I4_FN561562
279	denovo5066	75.29	10	12	41	255	300	A105_AB207202
280	denovo3215	74.83	14	16	44	294	300	F1_JN558066
281	denovo4431	74.83	11	18	45	294	300.5	F1_JN558066
282	denovo3236	76.14	8	16	49	306	301	I1_FN561559
283	denovo4764	72.55	14	17	39	255	302	A127_EF656429
284	denovo365	74.24	10	16	50	295	303	F3.4_AM748570
285	denovo1893	70.57	10	13	65	299	303	F3.2_AM748567
286	denovo2442	74.83	13	17	44	294	303.5	F1_JN558066
287	denovo568	73.86	12	13	55	306	303.5	I1_FN561559
288	denovo568	71.57	11	11	65	306	303.5	I2_FN561560
289	denovo4180	73.2	13	17	52	306	304	I1_FN561559
290	denovo1432	70.92	16	16	57	306	304	I1_FN561559
291	denovo81	74.18	9	12	58	306	305.5	I2_FN561560
292	denovo745	76.59	11	16	43	299	306	F3.2a_AM748568
293	denovo2850	75.51	13	15	44	294	306.5	F5.2c_AM748596
294	denovo2807	75.17	12	14	47	294	306.5	F1_JN558066
295	denovo3598	77.45	11	18	40	306	306.5	I4_FN561562
296	denovo349	76.47	9	18	45	306	309	I4_FN561562
297	denovo4376	76.47	9	18	45	306	309	I4_FN561562
298	denovo2196	75.49	13	13	49	306	309	I1_FN561559
299	denovo3002	78.23	12	15	37	294	310.5	F5.1c_AM748593
300	denovo1990	74.34	13	16	49	304	310.5	F3.1a_AM748566
301	denovo4108	72.88	7	16	57	295	311	F3.4a_AM748571
302	denovo3386	74.51	15	13	50	306	311	I4_FN561562;I3_FN561561
303	denovo3386	73.2	14	14	54	306	311	I1_FN561559
304	denovo3970	75.17	15	18	40	294	311.5	F5.1c_AM748593
305	denovo3970	73.2	12	17	53	306	311.5	I2_FN561560
306	denovo3062	76.53	10	14	45	294	312.5	F5.2e_AJ291533
307	denovo1843	74.83	13	11	50	294	312.5	F5.2g_JN558072
308	denovo112	73.56	7	16	55	295	312.5	F3.4a_AM748571
309	denovo936	81.63	11	14	29	294	313	F102_AJ291534;F5.2g_JN558072
310	denovo762	75.17	15	9	49	294	313	F5.2g_JN558072
311	denovo4044	76.95	11	16	41	295	313	F3.3_AM748569
312	denovo4817	75.82	13	13	48	306	313	I1_FN561559
313	denovo4822	74.15	12	16	48	294	313.5	F5.2c_AM748596
314	denovo211	72.88	12	14	57	306	313.5	I2_FN561560
315	denovo709	75.51	13	14	45	294	314	F5.1b_AJ291535
316	denovo2304	74.58	7	16	52	295	314	F3.4a_AM748571
317	denovo234	73.94	13	14	47	284	314.5	F4.8_AM748588
318	denovo960	77.2	10	11	36	250	315	A115_AF180123
319	denovo2627	75	10	17	44	284	315.5	F4.8b_AM748590
320	denovo2854	68.63	9	13	74	306	315.5	I4_FN561562
321	denovo1873	72.29	10	9	50	249	316	A120_AF180122
322	denovo2929	72.45	12	13	56	294	316	F5.1d_JN558069
323	denovo5452	72.7	14	14	55	304	316	F3.1a_AM748566
324	denovo692	73.94	13	13	48	284	316.5	F4.8_AM748588
325	denovo4627	75	9	14	48	284	316.5	F4.8b_AM748590;F4.8a_AM748589
326	denovo2870	69.28	8	13	73	306	316.5	I4_FN561562
327	denovo1489	75	14	17	33	256	317	A136_DQ865210
328	denovo1459	74.82	9	17	45	282	317	F4.3c_AM748581
329	denovo3039	81.38	11	26	33	376	317	D1.2_AM748617
330	denovo43	71.48	10	11	52	256	317.5	A136_DQ865210
331	denovo3610	74.92	18	15	42	299	317.5	F3.2a_AM748568
332	denovo4587	78.91	9	14	39	294	318	F5.2g_JN558072
333	denovo1600	71.88	12	11	49	256	318.5	A136_DQ865210
334	denovo3018	75.25	18	17	39	299	318.5	F3.2a_AM748568
335	denovo4693	74.18	11	11	57	306	318.5	I4_FN561562
336	denovo2019	75.51	13	11	48	294	319	F1_JN558066
337	denovo1019	76.95	7	14	47	295	319	F3.4_AM748570;F3.4b_AM748616
338	denovo1605	76.76	10	18	38	284	319.5	F4.8_AM748588;F4.8a_AM748589
339	denovo291	75.35	8	15	47	284	319.5	F4.8a_AM748589
340	denovo4481	74.15	11	16	49	294	320.5	F5.2c_AM748596
341	denovo2423	74.92	11	15	48	295	320.5	F3.4b_AM748616
342	denovo2682	74.92	11	15	48	295	320.5	F3.4b_AM748616
343	denovo1309	73.24	9	15	56	299	320.5	F3.2_AM748567
344	denovo5039	73.68	14	15	51	304	320.5	F114_AJ291525
345	denovo3800	75.27	11	19	63	376	320.5	D1.2_AM748617
346	denovo2681	73.24	11	15	50	284	321	F4.8_AM748588;F4.8a_AM748589
347	denovo4654	76.19	13	13	44	294	321	F5.2c_AM748596
348	denovo450	74.15	12	17	47	294	321	F5.2g_JN558072
349	denovo1597	74.83	9	13	52	294	321	F1_JN558066
350	denovo2339	71.13	14	11	57	284	321.5	F4.5_AM748585
351	denovo73	69.79	21	12	54	288	321.5	C1033_DQ335350
352	denovo1235	72.88	13	18	52	306	321.5	I1_FN561559
353	denovo5038	79.59	10	15	35	294	322	F5.2g_JN558072
354	denovo5199	77.29	8	15	44	295	322	F3.4_AM748570;F3.4b_AM748616
355	denovo5446	77.29	8	15	44	295	322	F3.4_AM748570;F3.4b_AM748616
356	denovo2137	73.9	7	15	55	295	322	F3.4_AM748570;F3.4b_AM748616;F3.4a_AM748571
357	denovo1050	75.92	11	13	48	299	322.5	F3.2_AM748567
358	denovo4403	77.12	11	16	43	306	322.5	I1_FN561559
359	denovo3250	74.84	12	21	44	306	322.5	I2_FN561560
360	denovo287	74.51	11	16	51	306	322.5	I2_FN561560
361	denovo3719	74.51	10	11	57	306	322.5	I4_FN561562;I3_FN561561
362	denovo1567	74.47	12	18	66	376	322.5	D1.2_AM748617
363	denovo618	76.92	17	13	39	299	323	F3.2a_AM748568
364	denovo1669	71.05	14	12	62	304	323	F3.1_AM748565
365	denovo3993	76.57	5	13	49	286	324	B4_AF333510
366	denovo4285	77.59	13	16	38	299	324	F3.2a_AM748568
367	denovo1763	77.82	8	16	39	284	324.5	F4.8a_AM748589
368	denovo1763	76.41	9	15	43	284	324.5	F4.8b_AM748590
369	denovo2598	75.35	10	17	43	284	324.5	F4.8b_AM748590
370	denovo4769	73.24	20	14	46	299	324.5	F3.2a_AM748568
371	denovo3099	75.16	12	22	42	306	324.5	I2_FN561560
372	denovo2521	71.13	12	8	62	284	325	F4.5_AM748585
373	denovo1266	77.63	9	15	42	295	325	F3.4_AM748570;F3.4b_AM748616
374	denovo2149	77.63	9	15	42	295	325	F3.4_AM748570;F3.4b_AM748616
375	denovo2132	78.6	13	7	44	299	325	F3.2a_AM748568
376	denovo532	78.43	14	11	41	306	325	I2_FN561560
377	denovo4583	71.57	16	14	57	306	325.5	I4_FN561562
378	denovo5193	76.19	9	17	44	294	326	F5.2c_AM748596
379	denovo886	73.13	14	15	50	294	326.5	F5.2c_AM748596
380	denovo51	75.25	18	15	41	299	326.5	F3.2a_AM748568
381	denovo5493	72.91	13	15	53	299	326.5	F3.2a_AM748568
382	denovo3713	72.22	9	15	61	306	326.5	I3_FN561561
383	denovo2460	70.42	9	14	61	284	327	F109_AJ291527
384	denovo3358	78.64	10	15	38	295	327	F3.4_AM748570;F3.4b_AM748616
385	denovo409	77.93	13	16	37	299	327	F3.2a_AM748568
386	denovo1095	76.92	16	16	37	299	327	F3.2a_AM748568
387	denovo201	73.24	16	15	49	299	327.5	F3.2a_AM748568
388	denovo4542	74.83	16	9	49	294	328	F5.1b_AJ291535
389	denovo3581	78.1	15	13	39	306	328	I2_FN561560
390	denovo4820	74.67	12	19	46	304	328.5	F3.1a_AM748566
391	denovo2297	73.36	14	16	51	304	328.5	F114_AJ291525
392	denovo2578	76.92	15	15	39	299	329	F3.2a_AM748568
393	denovo930	76.92	15	15	39	299	329	F3.2a_AM748568
394	denovo1301	72.6	14	14	49	281	329.5	F4.1a_AM748573
395	denovo1322	75.25	11	15	47	295	329.5	F3.4b_AM748616
396	denovo1905	74.92	18	15	42	299	329.5	F3.2a_AM748568
397	denovo4878	72.34	13	16	49	282	330	F4.3a_AM748579
398	denovo825	79.6	10	16	35	299	330	F3.2_AM748567
399	denovo1379	77.26	8	14	46	299	330	F3.2_AM748567
400	denovo2344	71.53	14	9	57	281	330.5	F4.1a_AM748573
401	denovo4090	72.79	12	14	54	294	330.5	F5.1b_AJ291535
402	denovo4754	72.79	12	14	54	294	330.5	F5.1b_AJ291535
403	denovo1886	74.58	13	13	49	295	330.5	F3.3_AM748569
404	denovo5245	73.59	10	15	50	284	331	F4.8_AM748588;F4.8a_AM748589
405	denovo5245	72.18	13	12	54	284	331	F4.8b_AM748590
406	denovo489	75.17	10	18	45	294	331	F5.1c_AM748593
407	denovo2281	76.59	16	15	39	299	331	F3.2a_AM748568
408	denovo3324	75.7	10	19	40	284	331.5	F4.8b_AM748590
409	denovo3101	74.58	12	16	48	299	331.5	F3.2_AM748567
410	denovo1536	75.69	11	14	37	255	332	A107_AB207199
411	denovo2495	76.53	15	17	37	294	332	F114_AJ291525
412	denovo3000	75.51	10	16	46	294	332	F5.2c_AM748596
413	denovo1935	77.63	9	14	43	295	332	F3.4_AM748570;F3.4b_AM748616
414	denovo3561	77.63	9	14	43	295	332	F3.4_AM748570;F3.4b_AM748616
415	denovo3619	77.63	9	14	43	295	332	F3.4_AM748570;F3.4b_AM748616
416	denovo3134	71.38	14	12	61	304	332	F3.1_AM748565
417	denovo5521	71.38	14	12	61	304	332	F3.1_AM748565
418	denovo377	73.53	9	11	61	306	332	I4_FN561562
419	denovo744	71.28	14	13	54	282	333	F4.4_AM748582
